"female","hispanic","white_non_hisp","black_non_hisp","asian_pi","other_race","foreign_born","edu_less_than_hs","poverty","unemployment","premature_mortality","hep_b","hep_c","tb","health_ins","no_health_ins_u18","medicaid_enroll","medicaid_pc_visit","late_no_prenatal_care","clinic_and_community_health_centers"
50.7,31.5,25.1,35.4,3.8,4.1,22.2,16.4,27.7,9.9,267.4,48.6,109.5,7.1,88.8,2.3,41.6,54.1,4.9,0
52.8,10.8,71.7,1.8,14.7,0.9,27.2,11.9,7.1,5.4,131.3,25.2,66.5,7.4,91.8,3.8,19.8,66.9,2.4,1
54.3,12.6,80.2,3,2.7,1.4,16.6,9.4,5.5,7.6,162.1,8.7,80.3,NA,95.1,4.6,15.9,66.9,2.6,0
50.9,31.3,43.2,17.4,5.3,2.9,23.7,13.8,23.2,6.4,233.3,31.7,74.9,6.9,87.9,4.6,32.2,60.1,3.2,1
52.1,7.8,86.4,0.4,4.8,0.7,11.5,8.5,12.7,6.1,124.1,22,79.2,NA,96.2,2,12.7,64.3,1.5,0
47.7,25,55.6,11.7,5.8,1.8,16.4,12.3,15.4,9.4,163.4,40.3,80.2,NA,89.1,5.5,23.3,55.2,2.8,2
52.9,13.3,71.4,4.3,9.1,1.9,30.5,12.6,11.7,8.1,171.7,44,74.4,1.3,92.5,2.8,24.3,65.4,2.6,5
49.8,30.4,37.9,19.3,10,2.5,31.7,19.4,19.8,7.6,274.7,50.5,117.6,2.5,85,3.6,42.6,55.8,4.4,1
51,11.8,79.3,1.2,7.3,0.4,22.9,8.5,6.4,7.4,170.2,52.8,62.1,1.6,93.9,2.5,22.5,67.7,3.3,0
50.5,11.9,79.6,1.4,6.3,0.9,15.3,8.9,5.3,8,140,12.4,42.5,3.9,96.4,1.8,14.1,67.6,1.6,0
50.9,9.8,84,0.3,5.1,0.8,16.4,8.2,8,8.5,134.3,15,62.5,1.5,94.5,3.1,12.7,66.8,1.8,0
